"Index","Amount","Part Number","Vendor","Description","Price PP","USD Price "
"1","2","AL8860WT-7DICT-ND","DigiKey","IC LED DRVR RGLTR PWM 1A TSOT25","0,76000","$1,52"
"2","2","5399-AMS1117-5.0SOT-223CT-ND","DigiKey","IC REG LINEAR 5.1V 1A SOT-223","0,10000","$0,20"
"3","2","1801-SS34CT-ND","DigiKey","DIODE SCHOTTKY 40V 3A DO214AB","0,79000","$1,58"
"4","2","5923-C2Q1.5CT-ND","DigiKey","FUSE BRD MT 1.5A 32VAC 63VDC","0,42000","$0,84"
"5","2","490-12389-1-ND","DigiKey","CAP CER 22UF 25V X5R 0805","0,48000","$0,96"
"6","2","587-2942-1-ND","DigiKey","FIXED IND 47UH 920MA 390 MOHM","0,26000","$0,52"
"7","2","273-KDV12FR150ETCT-ND","DigiKey","RES 0.15 OHM 1% 1/2W 1206","0,22000","$0,44"
"8","10","RMCF0402FT10K0CT-ND","DigiKey","RES 10K OHM 1% 1/16W 0402","0,02000","$0,20"
"9","2","490-13981-1-ND","DigiKey","CAP CER 100UF 6.3V X5R 0805","0,99000","$1,98"
"10","1","2223-HSB07-202009-ND","DigiKey","HEAT SINK, BGA, 20 X 20 X 9 MM","0,93000","$0,93"
"11","3","490-12317-1-ND","DigiKey","CAP CER 10UF 16V X5R 0603","0,29000","$0,87"
"12","2","XPGDWT-B1-0000-00LE5CT-ND","DigiKey","LED XLAMP NEUTRAL WHT 4000K SMD","1,02000","$2,04"
"13","1","2449-AST13SEBQ-ND","DigiKey","SWITCH TOGGLE SPDT 5A 120V","3,68000","$3,68"
14,1,N/A,DigiKey,Delivery,,$8.49
15,1,N/A,DigiKey,Tariffs,,$3.70
16,5,SpeleoFox v0.1,JLCPCB,PCB,"8,68000",$8.68
17,2,18650 Batteries w/ prot.,AkkuMan,Batteries,"8,95000",$22.85
,,,,,,
,,,,Total,,$59.48
