"Index","Menge","Teilenummer","Hersteller-Teilenummer","Beschreibung","Verkaufseinheit","Kundenreferenz","Verfügbar","Lieferrückstände","Stückpreis","Gesamtpreis USD"
"1","2","AL8860WT-7DICT-ND","AL8860WT-7","IC LED DRVR RGLTR PWM 1A TSOT25","","","2","0","0,76000","$1,52"
"2","2","5399-AMS1117-5.0SOT-223CT-ND","AMS1117-5.0 SOT-223","IC REG LINEAR 5.1V 1A SOT-223","","","2","0","0,10000","$0,20"
"3","2","1801-SS34CT-ND","SS34","DIODE SCHOTTKY 40V 3A DO214AB","","","2","0","0,79000","$1,58"
"4","2","5923-C2Q1.5CT-ND","C2Q 1.5","FUSE BRD MT 1.5A 32VAC 63VDC","","","2","0","0,42000","$0,84"
"5","2","490-12389-1-ND","GRT21BR61E226ME13L","CAP CER 22UF 25V X5R 0805","","","2","0","0,48000","$0,96"
"6","2","587-2942-1-ND","NRS6028T470MMGJ","FIXED IND 47UH 920MA 390 MOHM","","","2","0","0,26000","$0,52"
"7","2","273-KDV12FR150ETCT-ND","KDV12FR150ET","RES 0.15 OHM 1% 1/2W 1206","","","2","0","0,22000","$0,44"
"8","10","RMCF0402FT10K0CT-ND","RMCF0402FT10K0","RES 10K OHM 1% 1/16W 0402","","","10","0","0,02000","$0,20"
"9","2","490-13981-1-ND","GRM21BR60J107ME15L","CAP CER 100UF 6.3V X5R 0805","","","2","0","0,99000","$1,98"
"10","1","2223-HSB07-202009-ND","HSB07-202009","HEAT SINK, BGA, 20 X 20 X 9 MM","","","1","0","0,93000","$0,93"
"11","3","490-12317-1-ND","GRT188R61C106KE13D","CAP CER 10UF 16V X5R 0603","","","3","0","0,29000","$0,87"
"12","2","XPGDWT-B1-0000-00LE5CT-ND","XPGDWT-B1-0000-00LE5","LED XLAMP NEUTRAL WHT 4000K SMD","","","2","0","1,02000","$2,04"
"13","1","2449-AST13SEBQ-ND","AST13SEBQ","SWITCH TOGGLE SPDT 5A 120V","","","1","0","3,68000","$3,68"

